context,utterance,implicature
You want to grab some coffee?,"I'll have to take a rain check, I'm afraid.",0
Are you interested in fishing this weekend?,I have plans already.,0
Want to have a luncheon today?,I already have lunch plans unfortunately.,0
Are you interested in going to the concert on Sunday?,It depends who is playing.,1
Do you know what neighborhood you will buy it in?,Hopefully in New York.,1
Are you new to the city?,This is the first time I've ever lived downtown.,1
Do you like jazz?,It's a fascinating genre with a rich history.,1
Have you tried bowling at BigAl's?,I went there yesterday.,1
Are you trying to live in a specific neighborhood?,I'm looking in the West Village area.,1
Do you like to cook on weekends?,I usually eat out on weekends.,0
Should we meet again next week?,Shall we say 7pm in the Royal Oak ?,1
Would you be open to joining some kind of club or team?,I'm not a team player.,0
Did you enjoy your holiday?,It was very relaxing.,1
Do you like hip hop?,It's the best kind of music.,1
Would you like to exchange memories from the past?,I have work I need to do.,0
Do you read non-fiction books?,I often read self-help books.,1
Do you want to grab something to eat?,I would really like to get a burger.,1
Do you like to take some time for yourself on the weekends?,I'm an introvert so I need to recharge some.,1
Off to the pub?,Off home more like,0
Are you looking for roommates?,Depends on how much my rent is.,1
Do you read any fiction authors?,I edit almost all fiction.,1
Would you like to talk about sports?,I don't know much about sports.,0
Want to have a taste of leg of lamb?,I'd rather have a steak.,0
Want to go for a hike tomorrow?,"That sounds good, let's go early.",1
Do you like ballet?,I see the Nutcracker every year.,1
Is that really you?,I look better with my facelift.,1
Do you like your job?,Work is very satisfying.,1
Enjoy reading books that make you laugh?,David Sedaris is my favorite writer.,1
Do you want to work closer to home?,I want my commute to be as short as possible.,1
Have you ever listened to Papa Roach?,His music is dreadful.,1
Are you not enjoying your current job?,I often feel undervalued.,0
Did you dye your hair red?,This hair color is natural.,0
Are you eating on a budget?,We're trying to.,1
Do you want to live in New York city?,I'm looking in Queens and Brooklyn.,1
Did you get outside and enjoy the sunny weather last weekend?,I got sunburnt last weekend.,0
Do you like to dance to music?,What else does once dance to?,1
Are you a fan of electronic music?,Electronic music makes me tense.,0
Want to go for a hike?,Depends where you want to go.,1
Do your folks still live it the same place?,They moved a few years ago.,0
Do you like to watch murder mysteries?,I prefer comedies,0
Would you be interested in a new industry altogether?,I would love to try something new.,1
Will your payments be about the same as what you pay for rent right now?,Everything is going to be more expensive.,0
You wanna hit a country-western bar tonight?,That sounds terrible.,0
Did you listen to the new Taylor Swift album?,My sister's been playing it nonstop at home.,1
Did you enjoy reading non-fiction books in school?,I hated them.,0
Are you concerned about your salary?,I'd rather make more than I'm currently earning.,1
Are you glad the week is over?,I'm very pleased that it's Friday.,1
Do you still play guitar?,I gave up years ago.,0
"Before we go any further I have to know, do you like lasagna?",I make lasagna all the time.,1
Would you like to go for coffee to catch up more?,I have to get back to the office.,0
Would you ever move to a different state?,I've done it before; it's exciting.,1
Do you want to have dinner tonight?,I have other plans later.,0
Can I buy you Chicken wings?,That would be lovely,1
Have you been to warped tour?,We went last month.,1
Will I be seeing you tomorrow for work?,I am off for a week now.,0
Do you like to go to the movie theatre?,I seldom go to crowded places anymore.,0
Do you ever work from home?,I try to work from home often.,1
Have you ever read any of Tolkien's works?,I've never managed to get through them.,0
Have you kept in touch with any of our other neighbors?,I'm friends with several of them on Facebook.,1
Do you still go to watch the football at the weekends ?,Every Sunday is football day.,1
Is the flat close to work?,It'll be close enough for me to ride my bike.,1
Does Italian food appeal to you?,I'll eat all of it.,1
Has it been six years since we last saw each other?,I think it's been more like two.,0
Do you enjoy being shocked by an ending?,that is the best thing,1
Shall we go back to that same deli we tried last week?,We could try somewhere different,0
Do you like parties?,Not really a fan of parties.,0
Can I catch a ride with you?,I didn't drive.,0
Have you ever been skating?,I enjoy skating,1
Are you interested in trap music?,I'm not into rap at all.,0
Would you have to work weekends?,Thankfully not,0
Do you remember Charlotte?,Who was she?,0
Are you enjoying your visit?,It's been stressful so far.,0
Do you listen to jazz?,Only at work.,1
Do you find the weather pleasant?,It's a little hotter than I'm used to.,0
Can I get you a poetry book?,"Eh, I'm not into poetry.",0
Do you like top 40 music?,I prefer classical music.,0
Shall we go out for a drink tonight?,Can we meet at 8pm in the Dee View Inn ?,1
Want to go to the new pizza place?,If we can order stuffed crust.,1
Do you watch a lot of romance movies?,I'm a sucker for a love story.,1
Can you shoot pool?,With my eyes closed.,1
Do you like to play at Open Mike sessions?,I'm too shy for that.,0
Would you like pizza tonight?,I love pizza,1
Do you get paid time off?,We get 10 vacation days a year.,1
Is it close to work?,The commute will take over an hour.,0
Enjoy exercising?,I try to get my 60 minutes of activity every day.,1
Are you sure you want to buy?,Right now I am,1
Will you be going out at the weekend ?,I might stay in,0
Are you familiar with Thai food?,I've heard that it's delicious.,0
Want to come over for coffee tomorrow?,What time?,1
Would you be interested in going to a bar?,Let's go!,1
"In your current job, do you work on a team?",We have 20 people in our group.,1
Will you go straight home?,Gotta pick up some groceries on the way home.,0
Do you enjoy art?,I like looking at oil paintings.,1
Would you ever be willing to volunteer?,I'm really busy with work.,0
Have you got a car?,I take the bus.,0
Want to go to a Jonas Brothers concert with me?,I'd rather go see Dolly Parton.,0
Have you ever attended a job fair?,I went to the one at the university last year.,1
Are you into pop?,When it has a good melody.,1
Would you listen to Kpop?,I'm not a big fan of pop music in general.,0
Are you into salsa dancing?,I am taking lessons.,1
Can you eat Mexican?,Tacos are my favourite.,1
Have you been to the new bar downtown?,I haven't been out for a drink in ages.,0
Will you need a loan to buy it?,I've been saving money for years and I'm getting help from my parents.,0
Are you well?,Doing great!,1
Do you still like classical music?,Only Mozart.,1
Do you work weekends?,I work as often as I can.,1
Do you have to travel frequently?,I'm on a plane every week.,1
Have you tried cake pops?,They're too sweet.,1
Would you like to attend the play at the theater?,It looks great.,1
Are you looking for something in education?,That is my first choice,1
Do you like guitars?,I love hearing my partner play Spanish guitar.,1
Do you want some time on your own to explore?,That'd be great.,1
Can we get together and catch up?,What's a good time for you?,1
Do you live far from here?,My flat is two blocks away.,0
Do you like ballet?,The outfits alone are wonderful.,1
Do you have a favorite band?,The Go-Go's are the best.,1
Do you want to the movies?,I'd rather spend some time outdoors instead.,0
Are you into eating from the local diner?,It's fun there.,1
Do you have a mortgage right now?,I might get one.,0
Are you from somewhere near where you live now?,I grew up a couple of hours from here.,1
Do you have any recommendations for me?,I have a few I could give,1
Do you like to read romances?,My go to author is Stephen King.,0
Will you be able to manage the payments?,I have a 6-month plan in place.,1
Do you have a kindle?,I sold it,0
Is there a specific dish that you enjoy?,I could eat meat all day.,1
Have you been downtown yet?,I went downtown before I came here.,1
Still working at Macy's?,I was just hired at a technology company.,0
Did you have a good day?,It was a fine day.,1
